,,,,,,,,,,,            Production            ,,,,,,,             Inventory             ,,,,,,,                                              Cards                                              ,,,,,,                        Tiles on Mars                        ,,,,,,   Terraforming    ,,,,,                                                           Other effects                                                           ,,,,,,,,
103,Steelworks,1,2 Action,,239,0 Base,,,,,,,,,,,,,2,,,-4,,,,,,,,,,,,,,0,,1,,,1,,,,,,,,Spend 4 energy to gain 2 steel and raise oxygen 1 step.,#REF!
104,Ore Processor,1,2 Action,,240,0 Base,,,,,,,,,,,,,,1,,-4,,,,,,,,,,,,,,0,,1,,,1,,,,,,,,Spend 4 energy to gain 1 titanium and raise oxygen 1 step.,#REF!
108,Open City,1,0 Immediate,,241,0 Base,,,,,4,,,,-1,,,,,,2,,,,,,,,,,1,,,,,1,,,,,0,,,,,,,,Decrease your energy production 1 step and increase your M€ production 4 steps. Gain 2 plants and place a city tile.,#REF!
113,Solar Power,1,0 Immediate,,242,0 Base,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your energy production 1 step.,#REF!
115,Artificial Photosynthesis,2,0 Immediate,A,243,0 Base,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your plant production 1 step.,#REF!
115,Artificial Photosynthesis,2,0 Immediate,B,244,0 Base,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your energy production 2 steps.,#REF!
116,Artificial Lake,1,0 Immediate,,245,0 Base,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,unreserved area,1,,,,,1,,,,,,,,Place 1 ocean tile ON AN AREA NOT RESERVED FOR OCEAN.,#REF!
117,Geothermal Power,1,0 Immediate,,246,0 Base,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your energy production 2 steps.,#REF!
118,Farming,1,0 Immediate,,247,0 Base,,,,,2,,,2,,,,,,,2,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your M€ production 2 steps and your plant production 2 steps. Gain 2 plants.,#REF!
120,Urbanized Area,1,0 Immediate,,248,0 Base,,,,,2,,,,-1,,,,,,,,,,,,,,,,1,,,,touching any 2+ cities,1,,,,,0,,,,,,,,Decrease your energy production 1 step and increase your M€ production 2 steps. Place a city tile ADJACENT TO AT LEAST 2 OTHER CITY TILES.,#REF!
122,Moss,1,0 Immediate,,249,0 Base,,,,,,,,1,,,,,,,-1,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your plant production 1 step and lose 1 plant.,#REF!
126,GHG Factories,1,0 Immediate,,250,0 Base,,,,,,,,,-1,4,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Decrease your energy production 1 step and increase your heat production 4 steps.,#REF!
127,Subterranean Reservoir,1,0 Immediate,,251,0 Base,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,,,,,,,,Place 1 ocean tile.,#REF!
128,Ecological Zone,2,0 Immediate,,252,0 Base,,,,,,,,,,,,,,,,,,,,,2,animal,here,,,1,,,touching any greenery,1,,,,,0,,,,,,,,Place this tile ADJACENT TO ANY GREENERY TILE.,#REF!
128,Ecological Zone,2,4 Effect/Trigger,,253,0 Base,plant/animal tag,,,←,,,,,,,,,,,,,,,,,1,animal,here,,,,,,,0,,,,,0,,,,,,,,"When you play an animal or plant tag, add an animal to this card.",#REF!
129,Zeppelins,1,0 Immediate,,254,0 Base,,,ANY cities ON MARS,←,N,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your M€ production 1 step per ANY city tile ON MARS.,#REF!
130,Worms,1,0 Immediate,,255,0 Base,,,sets of 2 microbe tags,←,,,,N,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,"Increase your plant production 1 step for every 2 microbe tags you have, including this.",#REF!
131,Decomposers,1,4 Effect/Trigger,,256,0 Base,P/M/A tag,,,←,,,,,,,,,,,,,,,,,1,microbe,here,,,,,,,0,,,,,0,,,,,,,,"When you play a plant, microbe, or animal tag, add a microbe to this card.",#REF!
132,Fusion Power,1,0 Immediate,,257,0 Base,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your energy production 3 steps.,#REF!
133,Symbiotic Fungus,1,2 Action,,258,0 Base,,,,,,,,,,,,,,,,,,,,,1,microbe,any,,,,,,,0,,,,,0,,,,,,,,Add a microbe to ANOTHER card.,#REF!
134,Extreme-Cold Fungus,2,2 Action,A,259,0 Base,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Gain 1 plant.,#REF!
134,Extreme-Cold Fungus,2,2 Action,B,260,0 Base,,,,,,,,,,,,,,,,,,,,,2,microbe,any,,,,,,,0,,,,,0,,,,,,,,Add 2 microbes to ANOTHER card.,#REF!
136,Great Dam,1,0 Immediate,,261,0 Base,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your energy production 2 steps.,#REF!
138,Strip Mine,1,0 Immediate,,262,0 Base,,,,,,2,1,,-2,,,,,,,,,,,,,,,,,,,,,0,,2,,,2,,,,,,,,Decrease your energy production 2 steps. Increase your steel production 2 steps and your titanium production 1 step. Raise oxygen 2 steps.,#REF!
139,Wave Power,1,0 Immediate,,263,0 Base,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your energy production 1 step.,#REF!
140,Lava Flows,1,0 Immediate,,264,0 Base,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,(if any) volcanic area,1,2,,,,2,,,,,,,,"Raise temperature 2 steps and place this tile ON EITHER THARSIS THOLUS, ASCRAEUS MONS, PAVONIS MONS OR ARSIA MONS.",#REF!
141,Power Plant,1,0 Immediate,,265,0 Base,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your energy production 1 step.,#REF!
142,Mohole Area,1,0 Immediate,,266,0 Base,,,,,,,,,,4,,,,,,,,,,,,,,,,1,,,ocean area,1,,,,,0,,,,,,,,Increase your heat production 4 steps. Place this tile ON AN AREA RESERVED FOR OCEAN.,#REF!
143,Large Convoy,2,0 Immediate,A,267,0 Base,,,,,,,,,,,,,,,5,,,,2,,,,,,,,,1,,1,,,,,1,,,,,,,,Place an ocean tile and draw 2 cards. Gain 5 plants.,#REF!
143,Large Convoy,2,0 Immediate,B,268,0 Base,,,,,,,,,,,,,,,,,,,2,,4,animal,any,,,,,1,,1,,,,,1,,,,,,,,Place an ocean tile and draw 2 cards. Add 4 animals to ANOTHER card.,#REF!
145,Tectonic Stress Power,1,0 Immediate,,269,0 Base,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your energy production 3 steps.,#REF!
146,Nitrophilic Moss,1,0 Immediate,,270,0 Base,,,,,,,,2,,,,,,,-2,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your plant production 2 steps and lose 2 plants.,#REF!
147,Herbivores,3,0 Immediate,,271,0 Base,,,,,,,,,,,,,,,,,,,,,1,animal,here,,,,,,,0,,,,,0,,,,,,,,Add 1 animal to this card.,#REF!
147,Herbivores,3,1 Immediate/Attack,,272,0 Base,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Decrease any plant production 1 step.,#REF!
147,Herbivores,3,4 Effect/Trigger,,273,0 Base,greenery tile,,,←,,,,,,,,,,,,,,,,,1,animal,here,,,,,,,0,,,,,0,,,,,,,,"When you place a greenery tile, add an animal to this card.",#REF!
148,Insects,1,0 Immediate,,274,0 Base,,,plant tags,←,,,,N,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your plant production 1 step for each plant tag you have.,#REF!
152,Insulation,1,0 Immediate,,275,0 Base,,,any number > 0,←,N,,,,,-N,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Decrease your heat production one or more steps and increase your M€ production the same number of steps.,#REF!
153,Adaptation Technology,1,8 Effect/Ambient,,276,0 Base,play card,,,←,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,weaken global reqt 2 steps,,You may treat any global parameter requirement as if it is 2 steps lower or higher.,#REF!
155,Designed Microorganisms,1,0 Immediate,,277,0 Base,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your plant production 2 steps.,#REF!
157,Nitrite Reducing Bacteria,3,0 Immediate,,278,0 Base,,,,,,,,,,,,,,,,,,,,,3,microbe,here,,,,,,,0,,,,,0,,,,,,,,Add 3 microbes to this card.,#REF!
157,Nitrite Reducing Bacteria,3,2 Action,A,279,0 Base,,,,,,,,,,,,,,,,,,,,,1,microbe,here,,,,,,,0,,,,,0,,,,,,,,Add 1 microbe to this card.,#REF!
157,Nitrite Reducing Bacteria,3,2 Action,B,280,0 Base,,,,,,,,,,,,,,,,,,,,,-3,microbe,here,,,,,,,0,,,,1,1,,,,,,,,Spend 3 microbes here to increase your TR 1 step.,#REF!
158,Industrial Microbes,1,0 Immediate,,281,0 Base,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your energy production and your steel production 1 step each.,#REF!
159,Lichen,1,0 Immediate,,282,0 Base,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your plant production 1 step.,#REF!
161,Convoy From Europa,1,0 Immediate,,283,0 Base,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,1,,,,,1,,,,,,,,Place 1 ocean tile and draw 1 card.,#REF!
162,Imported GHG,1,0 Immediate,,284,0 Base,,,,,,,,,,1,,,,,,,3,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your heat production 1 step and gain 3 heat.,#REF!
163,Imported Nitrogen,2,0 Immediate,,285,0 Base,,,,,,,,,,,,,,,4,,,,,,3,microbe,any,,,,,,,0,,,,1,1,,,,,,,,Raise your TR 1 step and gain 4 plants. Add 3 microbes to ANOTHER card and 2 animals to ANOTHER card.,#REF!
163,Imported Nitrogen,2,0 Immediate,,286,0 Base,,,,,,,,,,,,,,,,,,,,,2,animal,any,,,,,,,0,,,,,0,,,,,,,,Raise your TR 1 step and gain 4 plants. Add 3 microbes to ANOTHER card and 2 animals to ANOTHER card.,#REF!
164,Micro-Mills,1,0 Immediate,,287,0 Base,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your heat production 1 step.,#REF!
165,Magnetic Field Generators,1,0 Immediate,,288,0 Base,,,,,,,,2,-4,,,,,,,,,,,,,,,,,,,,,0,,,,3,3,,,,,,,,Decrease your energy production 4 steps and increase your plant production 2 steps. Raise your TR 3 steps.,#REF!
166,Shuttles,2,0 Immediate,,289,0 Base,,,,,2,,,,-1,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Decrease your energy production 1 step and increase your M€ production 2 steps.,#REF!
166,Shuttles,2,5 Effect/Discount,,290,0 Base,space tag,,,←,,,,,,,,2,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Playing a card costs 2 M€ less per space tag it has.,#REF!
167,Import Of Advanced GHG,1,0 Immediate,,291,0 Base,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your heat production 2 steps.,#REF!
168,Windmills,1,0 Immediate,,292,0 Base,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your energy production 1 step.,#REF!
169,Tundra Farming,1,0 Immediate,,293,0 Base,,,,,2,,,1,,,,,,,1,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your plant production 1 step and your M€ production 2 steps. Gain 1 plant.,#REF!
170,Aerobraked Ammonia Asteroid,1,0 Immediate,,294,0 Base,,,,,,,,1,,3,,,,,,,,,,,2,microbe,any,,,,,,,0,,,,,0,,,,,,,,Add 2 microbes to ANOTHER card. Increase your heat production 3 steps and your plant production 1 step.,#REF!
171,Magnetic Field Dome,1,0 Immediate,,295,0 Base,,,,,,,,1,-2,,,,,,,,,,,,,,,,,,,,,0,,,,1,1,,,,,,,,Decrease your energy production 2 steps. Iincrease your plant production 1 step and your TR 1 step.,#REF!
172,Pets,3,0 Immediate,,296,0 Base,,,,,,,,,,,,,,,,,,,,,1,animal,here,,,,,,,0,,,,,0,,,,,,,,Add 1 animal to this card.,#REF!
172,Pets,3,4 Effect/Trigger,,297,0 Base,ANY city,,,←,,,,,,,,,,,,,,,,,1,animal,here,,,,,,,0,,,,,0,,,,,,,,"When ANY city tile is placed, add an animal to this card.",#REF!
172,Pets,3,8 Effect/Ambient,,298,0 Base,ambient,,,←,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,animals may not be removed from this card,,Animals may not be removed from this card.,#REF!
174,Protected Valley,1,0 Immediate,,299,0 Base,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,"ocean area, can break rules",1,,,,,1,,,,,,,,"Increase your M€ production 2 steps. Place a greenery tile ON AN AREA RESERVED FOR OCEAN, disregarding normal placement restrictions, and raise oxygen 1 step.",#REF!
176,Noctis Farming,1,0 Immediate,,300,0 Base,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your M€ production 1 step and gain 2 plants.,#REF!
177,Water Splitting Plant,1,2 Action,,301,0 Base,,,,,,,,,,,,,,,,-3,,,,,,,,,,,,,,0,,1,,,1,,,,,,,,Spend 3 energy to raise oxygen 1 step.,#REF!
178,Heat Trappers,2,0 Immediate,,302,0 Base,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your energy production 1 step.,#REF!
178,Heat Trappers,2,1 Immediate/Attack,,303,0 Base,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Decrease any player's heat production 2 steps.,#REF!
179,Soil Factory,1,0 Immediate,,304,0 Base,,,,,,,,1,-1,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Decrease your energy production 1 step and increase your plant production 1 step.,#REF!
181,Ice Cap Melting,1,0 Immediate,,305,0 Base,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,,,,,,,,Place 1 ocean tile.,#REF!
183,Biomass Combustors,2,0 Immediate,,306,0 Base,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your energy production 2 steps.,#REF!
183,Biomass Combustors,2,1 Immediate/Attack,,307,0 Base,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Decrease any player's plant production 1 step.,#REF!
184,Livestock,2,0 Immediate,,308,0 Base,,,,,2,,,-1,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Decrease your plant production 1 step and increase your M€ production 2 steps.,#REF!
184,Livestock,2,2 Action,,309,0 Base,,,,,,,,,,,,,,,,,,,,,1,animal,here,,,,,,,0,,,,,0,,,,,,,,Add 1 animal to this card.,#REF!
187,Aquifer Pumping,1,2 Action,,310,0 Base,,,,,,,,,,,,-8,,,,,,,,,,,,,,,,1,,1,,,,,1,,,,,,may use steel,,Spend 8 M€ (steel may be used) to place 1 ocean tile.,#REF!
188,Flooding,2,0 Immediate,,311,0 Base,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,,,,,,,,Place an ocean tile.,#REF!
188,Flooding,2,1 Immediate/Attack,,312,0 Base,,target owns tile touching the just-placed ocean,,←,,,,,,,,4,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,"If there are tiles adjacent to this ocean tile, you may remove up to 4 M€ from the owner of one of those tiles.",#REF!
189,Energy Saving,1,0 Immediate,,313,0 Base,,,ANY cities,←,,,,,N,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your energy production 1 step per ANY city tile in play.,#REF!
190,Local Heat Trapping,2,0 Immediate,A,314,0 Base,,,,,,,,,,,,,,,4,,-5,,,,,,,,,,,,,0,,,,,0,,,,,,,,Spend 5 heat to gain 4 plants.,#REF!
190,Local Heat Trapping,2,0 Immediate,B,315,0 Base,,,,,,,,,,,,,,,,,-5,,,,2,animal,any,,,,,,,0,,,,,0,,,,,,,,Spend 5 heat to add 2 animals to ANOTHER card.,#REF!
191,Permafrost Extraction,1,0 Immediate,,316,0 Base,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,,,,,,,,Place 1 ocean tile.,#REF!
193,Plantation,1,0 Immediate,,317,0 Base,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,1,,,,,,,,Place a greenery tile and raise oxygen 1 step.,#REF!
198,Immigration Shuttles,1,0 Immediate,,318,0 Base,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your M€ production 5 steps.,#REF!
200,Immigrant City,2,0 Immediate,,319,0 Base,,,,,-1,,,,-1,,,,,,,,,,,,,,,,1,,,,,1,,,,,0,,,,,,,,Decrease your energy production 1 step and decrease your M€ production 2 steps. Place a city tile.,#REF!
200,Immigrant City,2,4 Effect/Trigger,,320,0 Base,ANY city,,,←,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,"When ANY city tile is placed, increase your M€ production 1 step.",#REF!
202,Underground Detonations,1,2 Action,,321,0 Base,,,,,,,,,,2,,-10,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Spend 10 M€ to increase your heat production 2 steps.,#REF!
203,Soletta,1,0 Immediate,,322,0 Base,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your heat production 7 steps.,#REF!
205,Rad-Chem Factory,1,0 Immediate,,323,0 Base,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,0,,,,2,2,,,,,,,,Decrease your energy production 1 step. Raise your TR 2 steps.,#REF!
206,Special Design,1,7 Effect/Temporary,,324,0 Base,next card this gen,,,←,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,weaken global reqt 2 steps,,The next card you play this generation costs 8 M€ less.,#REF!
002,Asteroid Mining Consortium,2,0 Immediate,,325,1 CorpEra,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your titanium production 1 step.,#REF!
002,Asteroid Mining Consortium,2,1 Immediate/Attack,,326,1 CorpEra,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Decrease any player's titanium production 1 step.,#REF!
006,Inventors' Guild,1,2 Action,,327,1 CorpEra,,,,,,,,,,,,,,,,,,,1,buy or discard,,,,,,,,,,0,,,,,0,,,,,,,,Look at the top card and either buy it or discard it.,#REF!
013,Space Elevator,2,0 Immediate,,328,1 CorpEra,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your titanium production 1 step.,#REF!
013,Space Elevator,2,2 Action,,329,1 CorpEra,,,,,,,,,,,,5,-1,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Spend 1 steel to gain 5 M€.,#REF!
014,Development Center,1,2 Action,,330,1 CorpEra,,,,,,,,,,,,,,,,-1,,,1,,,,,,,,,,,0,,,,,0,,,,,,,,Spend 1 energy to draw a card.,#REF!
025,Space Station,1,5 Effect/Discount,,331,1 CorpEra,space tag,,,←,,,,,,,,2,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Playing a card costs 2 M€ less per space tag it has.,#REF!
028,Security Fleet,1,2 Action,,332,1 CorpEra,,,,,,,,,,,,,,-1,,,,,,,1,fighter,here,,,,,,,0,,,,,0,,,,,,,,Spend 1 titanium to add 1 fighter resource to this card.,#REF!
046,Lightning Harvest,1,0 Immediate,,333,1 CorpEra,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your energy production and your M€ production 1 step each.,#REF!
049,Tardigrades,1,2 Action,,334,1 CorpEra,,,,,,,,,,,,,,,,,,,,,1,microbe,here,,,,,,,0,,,,,0,,,,,,,,Add 1 microbe to this card.,#REF!
050,Virus,2,1 Immediate/Attack,A,335,1 CorpEra,,,,,,,,,,,,,,,,,,,,,2,animal,any,,,,,,,0,,,,,0,,,,,,,,Remove up to 2 animals from any player's card.,#REF!
050,Virus,2,1 Immediate/Attack,B,336,1 CorpEra,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Remove up to 5 plants from any player.,#REF!
051,Miranda Resort,1,0 Immediate,,337,1 CorpEra,,,Earth tags,←,N,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your M€ production 1 step for each Earth tag you have.,#REF!
056,Mine,1,0 Immediate,,338,1 CorpEra,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your steel production 1 step.,#REF!
057,Vesta Shipyard,1,0 Immediate,,339,1 CorpEra,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your titanium production 1 step.,#REF!
061,Great Escarpment Consortium,2,0 Immediate,,340,1 CorpEra,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your steel production 1 step.,#REF!
061,Great Escarpment Consortium,2,1 Immediate/Attack,,341,1 CorpEra,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Decrease any player's steel production 1 step.,#REF!
062,Mineral Deposit,1,0 Immediate,,342,1 CorpEra,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Gain 5 steel.,#REF!
064,Mining Area,2,0 Immediate,A,343,1 CorpEra,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,area w/ S bonus touching your tile,1,,,,,0,,,,,,,,"Place this tile on an area with a steel placement bonus, adjacent to another of your tiles. Increase your steel production 1 step.",#REF!
064,Mining Area,2,0 Immediate,B,344,1 CorpEra,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,area w/ T bonus touching your tile,1,,,,,0,,,,,,,,"Place this tile on an area with a titanium placement bonus, adjacent to another of your tiles. Increase your titanium production 1 step.",#REF!
065,Building Industries,1,0 Immediate,,345,1 CorpEra,,,,,,2,,,-1,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Decrease your energy production 1 step and increase your steel production 2 steps.,#REF!
066,Land Claim,1,0 Immediate,,346,1 CorpEra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,1,,,PLACE YOUR MARKER ON A NON-RESERVED AREA. ONLY YOU MAY PLACE A TILE HERE,#REF!
068,Sponsors,1,0 Immediate,,347,1 CorpEra,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your M€ production 2  steps.,#REF!
069,Electro Catapult,3,0 Immediate,,348,1 CorpEra,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Decrease your energy production 1 step.,#REF!
069,Electro Catapult,3,2 Action,A,349,1 CorpEra,,,,,,,,,,,,7,,,-1,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Spend 1 plant to gain 7 M€.,#REF!
069,Electro Catapult,3,2 Action,B,350,1 CorpEra,,,,,,,,,,,,7,-1,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Spend 1 steel to gain 7 M€.,#REF!
070,Earth Catapult,1,5 Effect/Discount,,351,1 CorpEra,play card,,,←,,,,,,,,2,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Playing a card costs 2 M€ less.,#REF!
071,Advanced Alloys,2,6 Effect/Resource,,352,1 CorpEra,payment that accepts steel,,steel spent,←,,,,,,,,N,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Your titanium resources are worth 1 M€ extra.,#REF!
071,Advanced Alloys,2,6 Effect/Resource,,353,1 CorpEra,payment that accepts titanium,,titanium spent,←,,,,,,,,N,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Your steel resources are worth 1 M€ extra.,#REF!
073,Mars University,1,4 Effect/Trigger,,354,1 CorpEra,science tag,,,←,,,,,,,,,,,,,,,1,,,,,,,,,,,0,,,,,0,,,,,,discard a card first (this whole effect is optional),,"When you play a science tag, you may discard a card from hand to draw a card.",#REF!
074,Viral Enhancers,2,4 Effect/Trigger,A,355,1 CorpEra,P/M/A tag,,,←,,,,,,,,,,,1,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,"When you play a plant, microbe, or animal tag, gain 1 plant.",#REF!
074,Viral Enhancers,2,4 Effect/Trigger,B,356,1 CorpEra,P/M/A tag,,,←,,,,,,,,,,,,,,,,,1,any,played,,,,,,,0,,,,,0,,,,,,,,"When you play a plant, microbe, or animal tag, add 1 resource to that card.",#REF!
079,Quantum Extractor,2,0 Immediate,,357,1 CorpEra,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your energy production 4 steps.,#REF!
079,Quantum Extractor,2,5 Effect/Discount,,358,1 CorpEra,space tag,,,←,,,,,,,,2,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Playing a card costs 2 M€ less per space tag it has.,#REF!
082,Callisto Penal Mines,1,0 Immediate,,359,1 CorpEra,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your M€ production 3 steps.,#REF!
085,Commercial District,1,0 Immediate,,360,1 CorpEra,,,,,4,,,,-1,,,,,,,,,,,,,,,,,1,,,,1,,,,,0,,,,,,,,Decrease your energy production 1 step and increase your M€ production 4 steps. Place this tile.,#REF!
086,Robotic Workforce,1,0 Immediate,,361,1 CorpEra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,copy on-play prod box of owned building card,,Duplicate only the production box of one of your building cards.,#REF!
090,Research,1,0 Immediate,,362,1 CorpEra,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0,,,,,0,,,,,,,,Counts as playing 2 science cards. Draw 2 cards.,#REF!
091,Gene Repair,1,0 Immediate,,363,1 CorpEra,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your M€ production 2 steps.,#REF!
092,Io Mining Industries,1,0 Immediate,,364,1 CorpEra,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your titanium production 2 steps and your M€ production 2 steps.,#REF!
094,Mass Converter,2,0 Immediate,,365,1 CorpEra,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your energy production 6 steps.,#REF!
094,Mass Converter,2,5 Effect/Discount,,366,1 CorpEra,space tag,,,←,,,,,,,,2,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Playing a card costs 2 M€ less per space tag it has.,#REF!
095,Physics Complex,1,2 Action,,367,1 CorpEra,,,,,,,,,,,,,,,,-6,,,,,1,science,here,,,,,,,0,,,,,0,,,,,,,,Spend 6 energy to add a science resource to this card.,#REF!
098,Tropical Resort,1,0 Immediate,,368,1 CorpEra,,,,,3,,,,,-2,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Decrease your heat production 2 steps and increase your M€ production 3 steps.,#REF!
099,Toll Station,1,0 Immediate,,369,1 CorpEra,,,OPPONENT space tags,←,N,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Increase your M€ production 1 step for each space tag your OPPONENTS have.,#REF!
105,Earth Office,1,5 Effect/Discount,,370,1 CorpEra,Earth tag,,,←,,,,,,,,3,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Playing a card costs 3 M€ less per Earth tag it has.,#REF!
